season_year,season_label,vessel_id,trip_id,dep_ts,arr_ts,arr_date,landed_kg,n_records,fishing_h,distance_km
2024,2024-2025,matsumae04,matsumae04_T35,2024-10-26 03:07:49,2024-10-26 08:49:49,2024-10-26,30.1,1,3.866388888888889,32.44823664414153
2024,2024-2025,matsumae04,matsumae04_T36,2024-10-26 10:58:49,2024-10-26 15:02:50,2024-10-26,30.1,1,0.0,39.532909221348135
2024,2024-2025,matsumae05,matsumae05_T2,2024-07-10 01:28:10,2024-07-10 08:23:09,2024-07-10,417.2,10,4.0825000000000005,39.903619982682386
2024,2024-2025,matsumae05,matsumae05_T5,2024-07-16 01:20:10,2024-07-16 08:38:09,2024-07-16,843.0,11,4.100833333333333,46.05760360615657
2024,2024-2025,matsumae05,matsumae05_T8,2024-08-07 01:57:09,2024-08-07 09:11:10,2024-08-07,625.0,13,4.166388888888889,42.123625185788924
2024,2024-2025,matsumae06,matsumae06_T3,2024-07-09 01:33:24,2024-07-09 08:47:25,2024-07-09,364.2,9,4.683611111111111,47.996057464730455
2024,2024-2025,matsumae06,matsumae06_T6,2024-07-10 01:42:24,2024-07-10 07:37:24,2024-07-10,330.3,5,2.566666666666667,47.85638696276981
2024,2024-2025,matsumae06,matsumae06_T9,2024-07-16 01:18:25,2024-07-16 06:55:24,2024-07-16,216.1,4,2.950833333333333,37.920653537470066
2024,2024-2025,matsumae06,matsumae06_T12,2024-07-17 00:55:24,2024-07-17 09:10:24,2024-07-17,732.3,10,5.250555555555556,54.92958602686104
2024,2024-2025,matsumae06,matsumae06_T33,2024-11-10 03:35:24,2024-11-10 09:31:24,2024-11-10,104.0,2,0.46694444444444444,63.92711830050887
2024,2024-2025,matsumae07,matsumae07_T5,2024-07-17 01:17:35,2024-07-17 10:06:35,2024-07-17,610.5,10,5.867222222222223,43.555576885507136
2024,2024-2025,matsumae07,matsumae07_T8,2024-08-01 01:28:35,2024-08-01 07:50:34,2024-08-01,98.6,2,2.6994444444444445,35.51298473189584
2024,2024-2025,matsumae07,matsumae07_T9,2024-08-03 01:51:34,2024-08-03 09:04:34,2024-08-03,348.5,6,1.0663888888888888,39.880881051051816
2024,2024-2025,matsumae07,matsumae07_T10,2024-08-07 01:48:35,2024-08-07 10:32:34,2024-08-07,697.6,13,5.9175,37.61402466172035
2024,2024-2025,matsumae08,matsumae08_T8,2024-07-17 01:29:39,2024-07-17 08:52:39,2024-07-17,891.3,16,4.766944444444444,40.36843312506972
2024,2024-2025,matsumae08,matsumae08_T19,2024-10-26 03:04:40,2024-10-26 10:43:39,2024-10-26,54.2,2,5.231111111111112,38.09209429628101
2024,2024-2025,matsumae08,matsumae08_T27,2024-11-01 03:13:40,2024-11-01 08:34:40,2024-11-01,53.4,1,2.6494444444444447,33.690299507631956
