line_number_1based,vessel_id,ts,prev_ts,lat,long,lat_dd,long_dd
306,matsumae02,2023-07-08 00:54:19,,4131.741,13955.525,41.529017,139.925417
308,matsumae06,2023-07-08 00:54:24,,4128.445,13955.336,41.474083,139.922267
310,matsumae01,2023-07-08 00:54:39,,4129.152,13956.903,41.485867,139.948383
312,matsumae04,2023-07-08 00:54:50,,4129.999,13956.698,41.499983,139.944967
314,matsumae02,2023-07-08 00:55:19,,4131.722,13955.519,41.5287,139.925317
316,matsumae06,2023-07-08 00:55:24,,4128.598,13955.339,41.476633,139.922317
318,matsumae01,2023-07-08 00:55:39,,4129.212,13956.74,41.486867,139.945667
320,matsumae04,2023-07-08 00:55:50,,4130.117,13956.586,41.50195,139.9431
322,matsumae02,2023-07-08 00:56:20,,4131.706,13955.516,41.528433,139.925267
324,matsumae06,2023-07-08 00:56:25,,4128.756,13955.357,41.479267,139.922617
326,matsumae01,2023-07-08 00:56:40,,4129.303,13956.604,41.488383,139.9434
328,matsumae04,2023-07-08 00:56:50,,4130.233,13956.478,41.503883,139.9413
330,matsumae02,2023-07-08 00:57:19,,4131.686,13955.513,41.5281,139.925217
332,matsumae06,2023-07-08 00:57:24,,4128.896,13955.371,41.4816,139.92285
334,matsumae01,2023-07-08 00:57:39,,4129.394,13956.47,41.4899,139.941167
336,matsumae04,2023-07-08 00:57:50,,4130.349,13956.372,41.505817,139.939533
338,matsumae02,2023-07-08 00:58:19,,4131.668,13955.51,41.5278,139.925167
340,matsumae06,2023-07-08 00:58:24,,4128.947,13955.358,41.48245,139.922633
342,matsumae01,2023-07-08 00:58:39,,4129.487,13956.332,41.49145,139.938867
344,matsumae04,2023-07-08 00:58:49,,4130.467,13956.264,41.507783,139.937733
346,matsumae02,2023-07-08 00:59:20,,4131.648,13955.507,41.527467,139.925117
348,matsumae06,2023-07-08 00:59:24,,4128.978,13955.349,41.482967,139.922483
350,matsumae01,2023-07-08 00:59:39,,4129.579,13956.198,41.492983,139.936633
352,matsumae04,2023-07-08 00:59:50,,4130.515,13956.201,41.508583,139.936683
354,matsumae02,2023-07-08 01:00:19,,4131.63,13955.5,41.527167,139.925
356,matsumae06,2023-07-08 01:00:24,,4128.978,13955.349,41.482967,139.922483
358,matsumae01,2023-07-08 01:00:40,,4129.669,13956.065,41.494483,139.934417
360,matsumae04,2023-07-08 01:00:49,,4130.501,13956.188,41.50835,139.936467
362,matsumae02,2023-07-08 01:01:19,,4131.611,13955.493,41.52685,139.924883
364,matsumae06,2023-07-08 01:01:24,,4128.977,13955.349,41.48295,139.922483
366,matsumae01,2023-07-08 01:01:40,,4129.76,13955.931,41.496,139.932183
368,matsumae04,2023-07-08 01:01:49,,4130.483,13956.18,41.50805,139.936333
370,matsumae02,2023-07-08 01:02:20,,4131.59,13955.484,41.5265,139.924733
372,matsumae06,2023-07-08 01:02:24,,4128.975,13955.349,41.482917,139.922483
374,matsumae01,2023-07-08 01:02:39,,4129.852,13955.797,41.497533,139.92995
376,matsumae04,2023-07-08 01:02:50,,4130.461,13956.177,41.507683,139.936283
378,matsumae02,2023-07-08 01:03:19,,4131.57,13955.481,41.526167,139.924683
380,matsumae06,2023-07-08 01:03:25,,4128.972,13955.349,41.482867,139.922483
382,matsumae01,2023-07-08 01:03:39,,4129.964,13955.714,41.4994,139.928567
384,matsumae04,2023-07-08 01:03:50,,4130.44,13956.176,41.507333,139.936267
386,matsumae02,2023-07-08 01:04:20,,4131.551,13955.475,41.52585,139.924583
388,matsumae06,2023-07-08 01:04:25,,4128.968,13955.349,41.4828,139.922483
390,matsumae01,2023-07-08 01:04:39,,4130.093,13955.689,41.50155,139.92815
392,matsumae04,2023-07-08 01:04:50,,4130.419,13956.177,41.506983,139.936283
394,matsumae02,2023-07-08 01:05:19,,4131.545,13955.443,41.52575,139.92405
396,matsumae06,2023-07-08 01:05:25,,4128.912,13955.354,41.481867,139.922567
398,matsumae01,2023-07-08 01:05:40,,4130.224,13955.692,41.503733,139.9282
400,matsumae04,2023-07-08 01:05:50,,4130.398,13956.178,41.506633,139.9363
402,matsumae02,2023-07-08 01:06:20,,4131.618,13955.439,41.526967,139.923983
404,matsumae06,2023-07-08 01:06:25,,4129.034,13955.364,41.4839,139.922733
406,matsumae01,2023-07-08 01:06:40,,4130.353,13955.706,41.505883,139.928433
408,matsumae04,2023-07-08 01:06:50,,4130.377,13956.179,41.506283,139.936317
410,matsumae02,2023-07-08 01:07:20,,4131.684,13955.388,41.528067,139.923133
412,matsumae06,2023-07-08 01:07:25,,4129.181,13955.43,41.48635,139.923833
414,matsumae01,2023-07-08 01:07:39,,4130.48,13955.702,41.508,139.928367
416,matsumae04,2023-07-08 01:07:50,,4130.358,13956.178,41.505967,139.9363
